ID,PLGA,PP-L,PP-COOH,PP-NH2,S/AS,Uptake,Uptake_stdev,PDI,PDI_stdev,Z_ave,Z_ave_stdev,cycle,cycle_type,cycle_origin,pick_for_next_cycle,Uptake_pred,Uptake_pred_stdev,Uptake_pred_5,Uptake_pred_95,PDI_pred,Z_ave_pred
F.u.0.1,0.33,0.67,0,0,0.1,0.696,0.08,0.069,0.008,119,1.18,0,DOE,0,no,0.960744083,0.772298416,-0.249707669,2.234918674,0.086193273,117.8457108
F.u.0.2,0.33,0.33,0.33,0,0.1,0.83,0.14,0.063,0.006,121,1.32,0,DOE,0,no,1.169643978,0.730834186,0.010793239,2.40065066,0.069201566,131.7931875
F.u.0.3,0.33,0.33,0,0.33,0.1,0.743,0.12,0.072,0.009,121,0.58,0,DOE,0,no,1.110672931,0.725984236,-0.081578652,2.310456514,0.101652217,117.0593948
F.u.0.4,0.33,0,0.67,0,0.1,1.122,0.17,0.079,0.017,134.4,0.66,0,DOE,0,no,1.279755513,0.73301365,0.077410887,2.524781307,0.085097363,133.7943827
F.u.0.5,0.33,0,0.33,0.33,0.1,0.987,0.04,0.069,0.011,132.9,0.64,0,DOE,0,no,1.570912123,0.728189866,0.350143333,2.775988181,0.132738998,150.3489126
F.u.0.6,0.33,0,0,0.67,0.1,0.888,0.21,0.057,0.018,145,1.17,0,DOE,0,no,1.194657683,0.718192379,0.024955312,2.387793382,0.095397078,134.0117849
F.u.0.7,0,1,0,0,0.1,0.4,0.03,0.059,0.01,80.2,0.87,0,DOE,0,no,3.226527691,1.086527427,1.456918796,5.054364999,0.087230951,86.57577769
F.u.0.8,0,0.67,0.33,0,0.1,2.368,0.12,0.11,0.014,103.3,0.95,0,DOE,0,no,1.948555072,0.868677934,0.558880587,3.379420439,0.085443273,98.43567149
F.u.0.9,0,0.33,0.67,0,0.1,1.87,0.16,0.134,0.015,111.3,1.04,0,DOE,0,no,1.805666725,0.759657462,0.583440562,3.015444358,0.120752744,117.2721024
F.u.0.10,0,0.33,0.33,0.33,0.1,3.982,0.23,0.142,0.017,105.2,0.47,0,DOE,0,no,2.420682828,0.84016492,1.018510759,3.88547651,0.138480534,103.7519862
F.u.0.11,0,0.33,0,0.67,0.1,4.77,0.11,0.075,0.005,89.04,0.96,0,DOE,0,no,2.933518807,0.921451012,1.334881663,4.441999435,0.107140688,90.40007782
F.u.0.12,0,0,1,0,0.1,2.055,0.34,0.142,0.013,125.3,0.2,0,DOE,0,no,1.988362352,0.815823694,0.676218669,3.344852606,0.087405798,124.7023799
F.u.0.13,0,0,0.67,0.33,0.1,3.615,0.1,0.14,0.014,121.4,0.36,0,DOE,0,no,1.8604635,0.761525909,0.655149321,3.077786843,0.143939108,122.6205292
F.u.0.14,0,0,0,1,0.1,1.673,0.27,0.098,0.035,94.63,0.95,0,DOE,0,no,4.446721872,1.101567547,2.69786795,6.3046182,0.104517778,104.9953308
F.u.0.15,0.25,0.25,0.25,0.25,0.1,1.095,0.14,0.05,0.015,128.2,0.35,0,DOE,0,no,1.527099808,0.737111449,0.297834327,2.768372536,0.087606416,117.5583064
F.u.0.16,0.67,0.33,0,0,0.25,0.575,0.09,0.116,0.012,177.3,2.45,0,DOE,0,no,0.858285969,0.752936463,-0.305573424,2.102863352,0.096539252,184.9898529
F.u.0.17,0.67,0,0.33,0,0.25,3.662,0.71,0.062,0.021,246.4,1.03,0,DOE,0,no,0.482973337,0.670220435,-0.559359491,1.605052789,0.079759305,221.3646088
F.u.0.18,0.67,0,0,0.33,0.25,2.293,0.24,0.233,0.006,260.9,2.68,0,DOE,0,no,,,,,0.121028778,216.4253286
F.u.0.19,0.33,0.33,0.33,0,0.25,1.014,0.19,0.131,0.015,165.3,1.48,0,DOE,0,no,1.315334996,0.711294055,0.168373674,2.46138827,0.098241985,155.5919545
F.u.0.20,0.33,0.33,0,0.33,0.25,0.705,0.03,0.083,0.017,144.7,1.3,0,DOE,0,no,1.396823049,0.755074839,0.158597509,2.630275965,0.116040766,151.970754
F.u.0.21,0.33,0,0.67,0,0.25,2.177,0.37,0.087,0.007,176.7,2.5,0,DOE,0,no,1.413581769,0.746519387,0.167647677,2.660169125,0.110475759,183.5167491
F.u.0.22,0.33,0,0.33,0.33,0.25,1.478,0.56,0.108,0.011,198.1,1.7,0,DOE,0,no,1.492771467,0.762517671,0.254910131,2.720201015,0.131471321,194.8740946
F.u.0.23,0,1,0,0,0.25,3.126,0.45,0.101,0.018,86.76,0.46,0,DOE,0,no,2.083225687,1.079750061,0.341756145,3.904941003,0.086269294,86.85216268
F.u.0.24,0,0.67,0,0.33,0.25,3.598,0.52,0.129,0.006,87.65,0.56,0,DOE,0,no,2.923875729,0.923712552,1.40114965,4.484157721,0.112232131,94.77138011
F.u.0.25,0,0.33,0.67,0,0.25,1.883,0.14,0.134,0.027,141.9,1.56,0,DOE,0,no,2.069192727,0.802564383,0.845240613,3.433283567,0.140510805,128.8811976
F.u.0.26,0,0.33,0.33,0.33,0.25,,,0.163,0.014,122.6,1.18,0,DOE,0,no,,,,,0.145514588,124.5630086
F.u.0.27,0,0.33,0,0.67,0.25,3.767,0.19,0.131,0.009,93.14,1.5,0,DOE,0,no,3.922090928,1.025557001,2.213411967,5.584981918,0.140610181,89.39164988
F.u.0.28,0,0,1,0,0.25,1.79,0.2,0.171,0.02,161.6,1.02,0,DOE,0,no,2.114615917,0.793941895,0.892611941,3.479681015,0.092800605,139.2314402
F.u.0.29,0,0,0.67,0.33,0.25,1.403,0.09,0.146,0.022,149.9,1.65,0,DOE,0,no,3.057660977,0.87689966,1.68553702,4.559386094,0.171587154,158.8997345
F.u.0.30,0,0,0,1,0.25,4.265,0.62,0.139,0.018,108.4,0.76,0,DOE,0,no,3.45566527,1.104347726,1.670675178,5.297897498,0.102091347,110.6192627
F.u.0.1,0.33,0.67,0,0,0.1,0.696,0.08,0.069,0.008,119,1.18,1,Exploration,0,no,-0.373377852,1.029751817,-1.991196553,1.363565485,0.086368541,118.1310425
F.u.0.2,0.33,0.33,0.33,0,0.1,0.83,0.14,0.063,0.006,121,1.32,1,Exploration,0,no,1.254040837,0.919233481,-0.264845351,2.734126409,0.091875419,129.9615122
F.u.0.3,0.33,0.33,0,0.33,0.1,0.743,0.12,0.072,0.009,121,0.58,1,Exploration,0,no,0.553396841,0.934935033,-0.932196995,2.056876024,0.065177772,107.9151052
F.u.0.4,0.33,0,0.67,0,0.1,1.122,0.17,0.079,0.017,134.4,0.66,1,Exploration,0,no,1.283573786,0.946386834,-0.213656465,2.868602037,0.06920518,126.4183502
F.u.0.5,0.33,0,0.33,0.33,0.1,0.987,0.04,0.069,0.011,132.9,0.64,1,Exploration,0,no,1.777323604,0.998517513,0.070106387,3.41290609,0.079081804,134.2738291
F.u.0.6,0.33,0,0,0.67,0.1,0.888,0.21,0.057,0.018,145,1.17,1,Exploration,0,no,0.178472598,1.156309168,-1.805260698,2.043391506,0.09292828,131.0649516
F.u.0.7,0,1,0,0,0.1,0.4,0.03,0.059,0.01,80.2,0.87,1,Exploration,0,no,2.33859841,1.326304436,0.183944643,4.613162994,0.112587849,82.17979177
F.u.0.8,0,0.67,0.33,0,0.1,2.368,0.12,0.11,0.014,103.3,0.95,1,Exploration,0,no,7.038104057,1.288976312,5.066907088,9.292461077,0.113370431,106.2935994
F.u.0.9,0,0.33,0.67,0,0.1,1.87,0.16,0.134,0.015,111.3,1.04,1,Exploration,0,no,1.798989058,1.07887729,-0.009209951,3.688869556,0.104576829,114.6888606
F.u.0.10,0,0.33,0.33,0.33,0.1,3.982,0.23,0.142,0.017,105.2,0.47,1,Exploration,0,no,8.487365723,1.181363583,6.585532347,10.47701263,0.112208781,104.0136592
F.u.0.11,0,0.33,0,0.67,0.1,4.77,0.11,0.075,0.005,89.04,0.96,1,Exploration,0,no,6.402038256,1.306284269,4.195556323,8.54337136,0.112273055,94.4077123
F.u.0.12,0,0,1,0,0.1,2.055,0.34,0.142,0.013,125.3,0.2,1,Exploration,0,no,1.077911059,1.126579165,-0.716585606,3.029648463,0.117922038,134.0303955
F.u.0.13,0,0,0.67,0.33,0.1,3.615,0.1,0.14,0.014,121.4,0.36,1,Exploration,0,no,2.30989631,1.09637324,0.507812897,4.14797163,0.10311838,116.1386744
F.u.0.14,0,0,0,1,0.1,1.673,0.27,0.098,0.035,94.63,0.95,1,Exploration,0,no,8.752879461,1.488072594,6.241484801,11.09146643,0.108212533,97.47337087
F.u.0.15,0.25,0.25,0.25,0.25,0.1,1.095,0.14,0.05,0.015,128.2,0.35,1,Exploration,0,no,1.704330325,0.939795415,0.152625561,3.228778998,0.088478779,127.1336823
F.u.0.16,0.67,0.33,0,0,0.25,0.575,0.09,0.116,0.012,177.3,2.45,1,Exploration,0,no,1.440030058,1.012865822,-0.306883961,3.053455591,0.099343449,201.5054067
F.u.0.17,0.67,0,0.33,0,0.25,3.662,0.71,0.062,0.021,246.4,1.03,1,Exploration,0,no,1.080368042,1.006036321,-0.537370145,2.641311248,0.111882764,240.876358
F.u.0.18,0.67,0,0,0.33,0.25,2.293,0.24,0.233,0.006,260.9,2.68,1,Exploration,0,no,,,,,0.094703885,239.650767
F.u.0.19,0.33,0.33,0.33,0,0.25,1.014,0.19,0.131,0.015,165.3,1.48,1,Exploration,0,no,1.729811629,0.971677045,0.158248926,3.309846004,0.107817245,163.1850281
F.u.0.20,0.33,0.33,0,0.33,0.25,0.705,0.03,0.083,0.017,144.7,1.3,1,Exploration,0,no,1.453626215,1.003236234,-0.155391037,3.039074262,0.117168441,160.7741445
F.u.0.21,0.33,0,0.67,0,0.25,2.177,0.37,0.087,0.007,176.7,2.5,1,Exploration,0,no,1.559937716,0.969149252,0.036175211,3.179431677,0.107883262,191.0991313
F.u.0.22,0.33,0,0.33,0.33,0.25,1.478,0.56,0.108,0.011,198.1,1.7,1,Exploration,0,no,1.950968226,0.967329621,0.354907095,3.488888184,0.096371087,173.2962901
F.u.0.23,0,1,0,0,0.25,3.126,0.45,0.101,0.018,86.76,0.46,1,Exploration,0,no,2.983381689,1.213521004,0.977123221,4.962115288,0.124551242,90.47860463
F.u.0.24,0,0.67,0,0.33,0.25,3.598,0.52,0.129,0.006,87.65,0.56,1,Exploration,0,no,6.817510923,1.276515285,4.707804283,8.910889943,0.122307273,89.37549591
F.u.0.25,0,0.33,0.67,0,0.25,1.883,0.14,0.134,0.027,141.9,1.56,1,Exploration,0,no,2.382448077,1.082284133,0.664207101,4.203075012,0.128552395,123.2699712
F.u.0.26,0,0.33,0.33,0.33,0.25,,,0.163,0.014,122.6,1.18,1,Exploration,0,no,,,,,0.128401324,117.4380671
F.u.0.27,0,0.33,0,0.67,0.25,3.767,0.19,0.131,0.009,93.14,1.5,1,Exploration,0,no,9.465640386,1.314702074,7.243161678,11.64022446,0.126603099,105.7074916
F.u.0.28,0,0,1,0,0.25,1.79,0.2,0.171,0.02,161.6,1.02,1,Exploration,0,no,1.707275987,1.153884729,-0.229841421,3.657299519,0.135812881,163.3828176
F.u.0.29,0,0,0.67,0.33,0.25,1.403,0.09,0.146,0.022,149.9,1.65,1,Exploration,0,no,5.014481544,1.216358463,2.995262702,7.003990968,0.138501006,144.0616964
F.u.0.30,0,0,0,1,0.25,4.265,0.62,0.139,0.018,108.4,0.76,1,Exploration,0,no,10.24289306,1.585946401,7.614796718,12.75516891,0.136072564,103.9248479
screen_37609,0,0.24,0.06,0.7,0.15,9.63,0.21,0.115,0.041,101.9,1.097,1,Exploration,1,no,7.163025061,1.289162636,4.988313198,9.288634618,0.113024317,106.123436
screen_39525,0,0.46,0.06,0.48,0.2,9.78,0.26,0.099,0.013,93.52,0.9279,1,Exploration,1,no,7.429731051,1.259514968,5.353633404,9.431770643,0.110234407,93.50309245
screen_65935,0,0.07,0.06,0.87,0.2,11.31,0.31,0.099,0.01,109.6,0.4163,1,Exploration,1,no,6.813645204,1.327646613,4.597088973,8.962932905,0.111806328,95.78081258
screen_95443,0,0.83,0.07,0.1,0.2,5.72,0.3,0.117,0.021,87.87,0.9051,1,Exploration,1,no,3.799970071,1.210677425,1.82266593,5.784079552,0.120483488,94.6312561
screen_9364,0,0.3,0.16,0.55,0.2,10.49,0.17,0.127,0.011,105,1.607,1,Exploration,1,no,11.27823544,1.214351098,9.301457087,13.22289817,0.116655603,96.054039
screen_39930,0,0.08,0.21,0.71,0.2,11.59,0.33,0.135,0.015,120.3,1.217,1,Exploration,1,no,10.24469058,1.208129128,8.240644932,12.21775532,0.113287071,110.7951126
screen_51944,0,0.62,0.06,0.32,0.2,5.93,0.33,0.108,0.007,89.42,0.7111,1,Exploration,1,no,7.591758728,1.257777373,5.431874434,9.627797445,0.107422578,96.63453929
screen_72795,0,0.67,0.17,0.16,0.2,14.4,0.6,0.121,0.007,96.39,0.695,1,Exploration,1,no,4.059610128,1.112754504,2.25020202,5.865132173,0.117794531,98.34399414
screen_24111,0,0.13,0.37,0.5,0.2,10.89,0.75,0.108,0.003,119.1,1.114,1,Exploration,1,no,6.546765804,1.133267442,4.631166935,8.409626802,0.105402835,131.1950175
screen_56633,0,0.44,0.24,0.32,0.2,7.44,0.23,0.13,0.013,105.6,1.778,1,Exploration,1,no,9.58643357,1.17642041,7.570466836,11.5073967,0.108091921,116.7639745
F.u.0.1,0.33,0.67,0,0,0.1,0.696,0.08,0.069,0.008,119,1.18,2,Exploitation,0,no,-0.895314177,1.033173104,-2.61015598,0.795084814,0.058932208,101.8512878
F.u.0.2,0.33,0.33,0.33,0,0.1,0.83,0.14,0.063,0.006,121,1.32,2,Exploitation,0,no,1.271554112,0.921490331,-0.269138753,2.749504487,0.079872246,127.1194229
F.u.0.3,0.33,0.33,0,0.33,0.1,0.743,0.12,0.072,0.009,121,0.58,2,Exploitation,0,no,0.819771151,1.021656851,-0.849556645,2.512432098,0.080066557,113.7774607
F.u.0.4,0.33,0,0.67,0,0.1,1.122,0.17,0.079,0.017,134.4,0.66,2,Exploitation,0,no,-0.067540477,1.016305983,-1.762775441,1.586901913,0.081388598,119.8776474
F.u.0.5,0.33,0,0.33,0.33,0.1,0.987,0.04,0.069,0.011,132.9,0.64,2,Exploitation,0,no,1.591837426,0.972618699,-0.01341182,3.147821744,0.093900035,129.9190241
